latitude,longitude,pixel_x,pixel_y
36.9991,-109.0452,733,962
36.5,-103.0,1048,1025
37.0,-94.6167,1495,998
36.5,-89.95,1769,1029
34.99,-85.61,1985,1122
42.48,-96.52,1400,616
46.0,-96.56,1396,375
36.6,-81.68,2184,980
37.0,-88.0,1842,933
45.9998,-116.9167,445,275
35.0,-114.633,414,1059
41.76,-84.81,1978,645
42.05,-73.5,2527,533
38.02,-77.04,2395,781
33.0,-91.1,1690,1283
39.72,-79.48,2265,749
41.36,-74.7,2478,588
34.99,-88.2,1844,1134
31.0,-85.0,2048,1401
34.99,-82.55,2121,1110
35.0,-84.32,2054,1112
40.64,-80.52,2200,694
42.75,-73.27,2529,478
37.28,-82.3,2159,921
45.94,-104.05,1046,365
36.5,-94.617,1495,1006
42.5,-90.64,1688,612
40.0,-102.05,1115,785
43.0,-104.05,1030,570
33.02,-94.04,1532,1287
42.73,-72.95,2564,472
41.71,-71.8,2608,513
39.72,-75.78,2448,714
39.35,-78.36,2354,757
29.98,-82.85,2182,1459
30.14,-82.33,2198,1437
30.78,-85.6,2017,1409
29.28,-82.44,2210,1486
27.94,-81.16,2301,1604
25.62,-80.99,2336,1726
